zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10001,New York,NY,none,8,9740,28,29095,4,5507,0,0,40.74770852501554,-73.99021572222094
10002,New York,NY,none,18,15201,39,43425,4,4740,0,0,40.719057221275676,-73.9893872835731
10003,New York,NY,none,16,19139,54,91952,6,8836,3,5125,40.73086555525138,-73.98855430513576
10004,New York,NY,none,12,1980,26,10361,6,2128,2,1153,40.70443249412245,-74.01183864401959
10005,New York,NY,none,7,1425,11,2268,1,89,1,177,40.70622166727112,-74.00857597680638
10006,New York,NY,none,16,1041,26,5108,4,389,0,0,40.70846839288016,-74.01317544506884
10007,New York,NY,none,7,1620,24,6247,5,1059,1,256,40.71413285299512,-74.0085384379145
10009,New York,NY,none,8,8015,25,23741,5,4901,2,851,40.726357086144574,-73.98256898639423
10011,New York,NY,none,6,7238,31,35070,13,15177,4,7461,40.74043774769693,-73.9995188149276
10012,New York,NY,none,10,11555,25,39106,18,21893,1,802,40.725744642215325,-73.99889847349183
10013,New York,NY,none,13,17716,30,29937,9,8041,2,942,40.71844870691942,-74.00015548749383
10014,New York,NY,none,8,9639,32,28717,16,15690,2,2536,40.73313639736186,-74.00375540834551
10016,New York,NY,none,3,1299,36,26966,7,6431,1,897,40.74567257036316,-73.98173195291223
10017,New York,NY,none,4,2948,13,7082,13,11130,3,3914,40.752931026162464,-73.97453870731213
10018,New York,NY,none,7,4686,16,12166,1,451,3,3905,40.75323409209089,-73.98819700332368
10019,New York,NY,none,8,16103,31,36710,17,14430,10,12524,40.76303602027533,-73.98284402275746
10020,New York,NY,none,5,399,9,4451,8,3363,1,2672,40.759572682708814,-73.98052219214073
10021,New York,NY,none,3,631,23,10974,5,2834,6,2180,40.770058560631654,-73.95893270125859
10022,New York,NY,none,8,6335,29,20888,11,10496,5,3243,40.75821474689733,-73.96904489534677
10023,New York,NY,none,7,2548,30,20968,14,8552,4,2953,40.77634561216631,-73.98079137585566
10024,New York,NY,none,6,2456,59,36664,9,2816,1,316,40.78532601152395,-73.97618965806102
10025,New York,NY,none,16,5465,29,10871,1,403,0,0,40.798857853586284,-73.96765319817332
10026,New York,NY,none,23,735,53,14971,3,253,0,0,40.803282644633164,-73.95322639311347
10027,New York,NY,none,5,908,40,16819,4,3194,1,104,40.81088535789374,-73.95212191525653
10028,New York,NY,none,6,1874,35,16476,3,1465,1,82,40.776353654038296,-73.95377104423669
